diseases,symptoms
Rubella,Joint pain
Norovirus,Vomiting
Rotavirus,Vomiting
Hepatitis A,Vomiting
Mumps,Vomiting
Rubella,Vomiting
Norovirus,Diarrhea
Rotavirus,Diarrhea
Hepatitis A,Diarrhea
Mumps,Diarrhea
Rubella,Diarrhea
Norovirus,Abdominal pain
Rotavirus,Abdominal pain
Hepatitis A,Abdominal pain
Mumps,Abdominal pain
Rubella,Abdominal pain
Common Cold,Sore throat
Rhinovirus,Sore throat
Respiratory Syncytial Virus,Sore throat
Adenovirus,Sore throat
Coronavirus,Sore throat
Common Cold,Runny nose
Rhinovirus,Runny nose
Respiratory Syncytial Virus,Runny nose
Adenovirus,Runny nose
Coronavirus,Runny nose
Common Cold,Sneezing
Rhinovirus,Sneezing
Respiratory Syncytial Virus,Sneezing
Adenovirus,Sneezing
Coronavirus,Sneezing
Common Cold,Cough
Rhinovirus,Cough
Respiratory Syncytial Virus,Cough
Adenovirus,Cough
Coronavirus,Cough
Common Cold,Fatigue
Rhinovirus,Fatigue
Respiratory Syncytial Virus,Fatigue
Adenovirus,Fatigue
Coronavirus,Fatigue
Malaria,Fever
Yellow fever,Fever
Dengue fever,Fever
Japanese encephalitis,Fever
West Nile virus,Fever
Malaria,Chills
Yellow fever,Chills
Dengue fever,Chills
Japanese encephalitis,Chills
West Nile virus,Chills
Malaria,Sweating
Yellow fever,Sweating
Dengue fever,Sweating
Japanese encephalitis,Sweating
West Nile virus,Sweating
Malaria,Muscle aches
Yellow fever,Muscle aches
Dengue fever,Muscle aches
Japanese encephalitis,Muscle aches
West Nile virus,Muscle aches
Malaria,Headache
Yellow fever,Headache
Dengue fever,Headache
Japanese encephalitis,Headache
West Nile virus,Headache
Norovirus,Nausea
Rotavirus,Nausea
E. coli infection,Nausea
Salmonella infection,Nausea
Campylobacter infection,Nausea
Norovirus,Vomiting
Rotavirus,Vomiting
E. coli infection,Vomiting
Salmonella infection,Vomiting
Campylobacter infection,Vomiting
Norovirus,Diarrhea
Rotavirus,Diarrhea
E. coli infection,Diarrhea
Salmonella infection,Diarrhea
Campylobacter infection,Diarrhea
Norovirus,Abdominal pain
Rotavirus,Abdominal pain
E. coli infection,Abdominal pain
Salmonella infection,Abdominal pain
Campylobacter infection,Abdominal pain
Norovirus,Fatigue
Rotavirus,Fatigue
E. coli infection,Fatigue
Salmonella infection,Fatigue
Campylobacter infection,Fatigue
Salmonellosis,Fever
Listeriosis,Fever
Tuberculosis,Fever
Legionnaires' Disease,Fever
Typhoid Fever,Fever
Salmonellosis,Cough
Listeriosis,Cough
Tuberculosis,Cough
Legionnaires' Disease,Cough
Typhoid Fever,Cough
Salmonellosis,Fatigue
Listeriosis,Fatigue
Tuberculosis,Fatigue
Legionnaires' Disease,Fatigue
Typhoid Fever,Fatigue
Salmonellosis,Diarrhea
Listeriosis,Diarrhea
Tuberculosis,Diarrhea
Legionnaires' Disease,Diarrhea
Typhoid Fever,Diarrhea
Food Poisoning,Nausea
Shigellosis,Nausea
Campylobacteriosis,Nausea
Cholera,Nausea
E. coli Infection,Nausea
Food Poisoning,Vomiting
Shigellosis,Vomiting
Campylobacteriosis,Vomiting
Cholera,Vomiting
E. coli Infection,Vomiting
Food Poisoning,Abdominal Pain
Shigellosis,Abdominal Pain
Campylobacteriosis,Abdominal Pain
Cholera,Abdominal Pain
E. coli Infection,Abdominal Pain
Lyme Disease,Rash
Rocky Mountain Spotted Fever,Rash
Tularemia,Rash
Leptospirosis,Rash
Brucellosis,Rash
Lyme Disease,Joint Pain
Rocky Mountain Spotted Fever,Joint Pain
Tularemia,Joint Pain
Leptospirosis,Joint Pain
Brucellosis,Joint Pain
Lyme Disease,Headache
Rocky Mountain Spotted Fever,Headache
Tularemia,Headache
Leptospirosis,Headache
Brucellosis,Headache
Strep Throat,Fever
Diphtheria,Fever
Pertussis,Fever
Tuberculosis,Fever
Scarlet Fever,Fever
Strep Throat,Muscle Aches
Diphtheria,Muscle Aches
Pertussis,Muscle Aches
Tuberculosis,Muscle Aches
Scarlet Fever,Muscle Aches
Strep Throat,Sore Throat
Diphtheria,Sore Throat
Pertussis,Sore Throat
Tuberculosis,Sore Throat
Scarlet Fever,Sore Throat
Cholera,Diarrhea
Shigellosis,Diarrhea
E. coli Infection,Diarrhea
Campylobacteriosis,Diarrhea
Salmonellosis,Diarrhea
Cholera,Abdominal Cramps
Shigellosis,Abdominal Cramps
E. coli Infection,Abdominal Cramps
Campylobacteriosis,Abdominal Cramps
Salmonellosis,Abdominal Cramps
Cholera,Dehydration
Shigellosis,Dehydration
E. coli Infection,Dehydration
Campylobacteriosis,Dehydration
Salmonellosis,Dehydration
Athlete's foot,Itchy skin
Jock itch,Itchy skin
Ringworm,Itchy skin
Athlete's foot,Red rash
Jock itch,Red rash
Ringworm,Red rash
Athlete's foot,Peeling skin
Jock itch,Peeling skin
Ringworm,Peeling skin
Valley fever,Fever
Histoplasmosis,Fever
Blastomycosis,Fever
Valley fever,Headache
Histoplasmosis,Headache
Blastomycosis,Headache
Valley fever,Chills
Histoplasmosis,Chills
Blastomycosis,Chills
Aspergillosis,Nausea
Candidiasis,Nausea
Cryptococcosis,Nausea
Aspergillosis,Vomiting
Candidiasis,Vomiting
Cryptococcosis,Vomiting
Aspergillosis,Abdominal pain
Candidiasis,Abdominal pain
Cryptococcosis,Abdominal pain
Aspergilloma,Difficulty breathing
Coccidioidomycosis,Difficulty breathing
Histoplasmosis,Difficulty breathing
Aspergilloma,Coughing up blood
Coccidioidomycosis,Coughing up blood
Histoplasmosis,Coughing up blood
Aspergilloma,Night sweats
Coccidioidomycosis,Night sweats
Histoplasmosis,Night sweats
Septic arthritis,Joint pain
Osteomyelitis,Joint pain
Rheumatoid arthritis,Joint pain
Septic arthritis,Swelling
Osteomyelitis,Swelling
Rheumatoid arthritis,Swelling
Septic arthritis,Stiffness
Osteomyelitis,Stiffness
Rheumatoid arthritis,Stiffness
Giardiasis,Abdominal pain
Amoebiasis,Abdominal pain
Cryptosporidiosis,Abdominal pain
Cyclosporiasis,Abdominal pain
Giardiasis,Diarrhea
Amoebiasis,Diarrhea
Cryptosporidiosis,Diarrhea
Cyclosporiasis,Diarrhea
Giardiasis,Nausea
Amoebiasis,Nausea
Cryptosporidiosis,Nausea
Cyclosporiasis,Nausea
Giardiasis,Vomiting
Amoebiasis,Vomiting
Cryptosporidiosis,Vomiting
Cyclosporiasis,Vomiting
Malaria,Skin rash
Dengue,Skin rash
Chikungunya,Skin rash
Leishmaniasis,Skin rash
Malaria,Fever
Dengue,Fever
Chikungunya,Fever
Leishmaniasis,Fever
Malaria,Fatigue
Dengue,Fatigue
Chikungunya,Fatigue
Leishmaniasis,Fatigue
Malaria,Headache
Dengue,Headache
Chikungunya,Headache
Leishmaniasis,Headache
Pneumocystis pneumonia,Cough
Ascaris infection,Cough
Trichuriasis,Cough
Schistosomiasis,Cough
Pneumocystis pneumonia,Wheezing
Ascaris infection,Wheezing
Trichuriasis,Wheezing
Schistosomiasis,Wheezing
Pneumocystis pneumonia,Difficulty breathing
Ascaris infection,Difficulty breathing
Trichuriasis,Difficulty breathing
Schistosomiasis,Difficulty breathing
Lyme disease,Muscle pain
Chagas disease,Muscle pain
Toxoplasmosis,Muscle pain
Filariasis,Muscle pain
Lyme disease,Joint pain
Chagas disease,Joint pain
Toxoplasmosis,Joint pain
Filariasis,Joint pain
Lyme disease,Headache
Chagas disease,Headache
Toxoplasmosis,Headache
Filariasis,Headache
Lyme disease,Nausea
Chagas disease,Nausea
Toxoplasmosis,Nausea
Filariasis,Nausea
Hookworm infection,Anemia
Tapeworm infection,Anemia
Strongyloidiasis,Anemia
Ascariasis,Anemia
Hookworm infection,Loss of appetite
Tapeworm infection,Loss of appetite
Strongyloidiasis,Loss of appetite
Ascariasis,Loss of appetite
Hookworm infection,Abdominal pain
Tapeworm infection,Abdominal pain
Strongyloidiasis,Abdominal pain
Ascariasis,Abdominal pain
Hookworm infection,Nausea
Tapeworm infection,Nausea
Strongyloidiasis,Nausea
Ascariasis,Nausea
Depression,Insomnia
Anxiety Disorder,Insomnia
Bipolar Disorder,Insomnia
Attention Deficit Hyperactivity Disorder,Insomnia
Depression,Irritability
Anxiety Disorder,Irritability
Bipolar Disorder,Irritability
Attention Deficit Hyperactivity Disorder,Irritability
Depression,Poor Concentration
Anxiety Disorder,Poor Concentration
Bipolar Disorder,Poor Concentration
Attention Deficit Hyperactivity Disorder,Poor Concentration
Depression,Loss of Appetite
Anxiety Disorder,Loss of Appetite
Bipolar Disorder,Loss of Appetite
Attention Deficit Hyperactivity Disorder,Loss of Appetite
Schizophrenia,Hallucinations
Major Depressive Disorder,Hallucinations
Delusional Disorder,Hallucinations
Psychotic Disorder,Hallucinations
Schizophrenia,Delusions
Major Depressive Disorder,Delusions
Delusional Disorder,Delusions
Psychotic Disorder,Delusions
Schizophrenia,Disorganized Thinking
Major Depressive Disorder,Disorganized Thinking
Delusional Disorder,Disorganized Thinking
Psychotic Disorder,Disorganized Thinking
Schizophrenia,Social Withdrawal
Major Depressive Disorder,Social Withdrawal
Delusional Disorder,Social Withdrawal
Psychotic Disorder,Social Withdrawal
Bipolar Disorder,Mood Swings
Depression,Mood Swings
Seasonal Affective Disorder,Mood Swings
Dysthymia,Mood Swings
Bipolar Disorder,Fatigue
Depression,Fatigue
Seasonal Affective Disorder,Fatigue
Dysthymia,Fatigue
Bipolar Disorder,Hopelessness
Depression,Hopelessness
Seasonal Affective Disorder,Hopelessness
Dysthymia,Hopelessness
Bipolar Disorder,Difficulty Sleeping
Depression,Difficulty Sleeping
Seasonal Affective Disorder,Difficulty Sleeping
Dysthymia,Difficulty Sleeping
Delirium,Paranoia
Dementia,Paranoia
Schizophrenia,Paranoia
Bipolar Disorder,Paranoia
Delirium,Agitation
Dementia,Agitation
Schizophrenia,Agitation
Bipolar Disorder,Agitation
Delirium,Delirium
Dementia,Delirium
Schizophrenia,Delirium
Bipolar Disorder,Delirium
Delirium,Confusion
Dementia,Confusion
Schizophrenia,Confusion
Bipolar Disorder,Confusion
Anorexia Nervosa,Anorexia
Bulimia Nervosa,Anorexia
Body Dysmorphic Disorder,Anorexia
Orthorexia Nervosa,Anorexia
Anorexia Nervosa,Excessive Exercise
Bulimia Nervosa,Excessive Exercise
Body Dysmorphic Disorder,Excessive Exercise
Orthorexia Nervosa,Excessive Exercise
Anorexia Nervosa,Body Image Distortion
Bulimia Nervosa,Body Image Distortion
Body Dysmorphic Disorder,Body Image Distortion
Orthorexia Nervosa,Body Image Distortion
Anorexia Nervosa,Fear of Weight Gain
Bulimia Nervosa,Fear of Weight Gain
Body Dysmorphic Disorder,Fear of Weight Gain
Orthorexia Nervosa,Fear of Weight Gain
Autism Spectrum Disorder,Delayed Milestones
Attention Deficit Hyperactivity Disorder,Delayed Milestones
Specific Language Impairment,Delayed Milestones
Autism Spectrum Disorder,Difficulty with Language
Attention Deficit Hyperactivity Disorder,Difficulty with Language
Specific Language Impairment,Difficulty with Language
Autism Spectrum Disorder,Behavioral Issues
Attention Deficit Hyperactivity Disorder,Behavioral Issues
Specific Language Impairment,Behavioral Issues
Developmental Coordination Disorder,Delayed Milestones
Dyslexia,Delayed Milestones
Intellectual Disability,Delayed Milestones
Developmental Coordination Disorder,Poor Coordination
Dyslexia,Poor Coordination
Intellectual Disability,Poor Coordination
Developmental Coordination Disorder,Learning Difficulties
Dyslexia,Learning Difficulties
Intellectual Disability,Learning Difficulties
Asperger's Syndrome,Poor Social Skills
Obsessive Compulsive Disorder,Poor Social Skills
Sensory Processing Disorder,Poor Social Skills
Asperger's Syndrome,Repetitive Behaviors
Obsessive Compulsive Disorder,Repetitive Behaviors
Sensory Processing Disorder,Repetitive Behaviors
Asperger's Syndrome,Sensory Sensitivity
Obsessive Compulsive Disorder,Sensory Sensitivity
Sensory Processing Disorder,Sensory Sensitivity
Attention Deficit Hyperactivity Disorder,Poor Attention
Oppositional Defiant Disorder,Poor Attention
Developmental Trauma Disorder,Poor Attention
Attention Deficit Hyperactivity Disorder,Impulsivity
Oppositional Defiant Disorder,Impulsivity
Developmental Trauma Disorder,Impulsivity
Attention Deficit Hyperactivity Disorder,Hyperactivity
Oppositional Defiant Disorder,Hyperactivity
Developmental Trauma Disorder,Hyperactivity
Autism Spectrum Disorder,Delayed Speech
Social Communication Disorder,Delayed Speech
Childhood Disintegrative Disorder,Delayed Speech
Autism Spectrum Disorder,Poor Eye Contact
Social Communication Disorder,Poor Eye Contact
Childhood Disintegrative Disorder,Poor Eye Contact
Autism Spectrum Disorder,Lack of Imagination
Social Communication Disorder,Lack of Imagination
Childhood Disintegrative Disorder,Lack of Imagination
Cerebral Palsy,Delayed Motor Skills
Down Syndrome,Delayed Motor Skills
Epilepsy,Delayed Motor Skills
Cerebral Palsy,Intellectual Delay
Down Syndrome,Intellectual Delay
Epilepsy,Intellectual Delay
Cerebral Palsy,Seizures
Down Syndrome,Seizures
Epilepsy,Seizures
Developmental Dyscalculia,Poor Fine Motor Skills
Nonverbal Learning Disorder,Poor Fine Motor Skills
Auditory Processing Disorder,Poor Fine Motor Skills
Developmental Dyscalculia,Difficulty with Math
Nonverbal Learning Disorder,Difficulty with Math
Auditory Processing Disorder,Difficulty with Math
Developmental Dyscalculia,Poor Memory
Nonverbal Learning Disorder,Poor Memory
Auditory Processing Disorder,Poor Memory
Developmental Dyspraxia,Poor Gross Motor Skills
Dysgraphia,Poor Gross Motor Skills
Dyslexia,Poor Gross Motor Skills
Developmental Dyspraxia,Difficulty with Handwriting
Dysgraphia,Difficulty with Handwriting
Dyslexia,Difficulty with Handwriting
Developmental Dyspraxia,Difficulty with Spelling
Dysgraphia,Difficulty with Spelling
Dyslexia,Difficulty with Spelling
Myocardial Infarction,Chest Pain
Angina,Chest Pain
Pulmonary Embolism,Chest Pain
Myocardial Infarction,Shortness of Breath
Angina,Shortness of Breath
Pulmonary Embolism,Shortness of Breath
Myocardial Infarction,Dizziness
Angina,Dizziness
Pulmonary Embolism,Dizziness
Atrial Fibrillation,Irregular Heartbeat
Heart Failure,Irregular Heartbeat
Peripheral Artery Disease,Irregular Heartbeat
Atrial Fibrillation,Fatigue
Heart Failure,Fatigue
Peripheral Artery Disease,Fatigue
Atrial Fibrillation,Swollen Feet
Heart Failure,Swollen Feet
Peripheral Artery Disease,Swollen Feet
Hypertension,High Blood Pressure
Stroke,High Blood Pressure
Aortic Dissection,High Blood Pressure
Hypertension,Headache
Stroke,Headache
Aortic Dissection,Headache
Hypertension,Nausea
Stroke,Nausea
Aortic Dissection,Nausea
Pulmonary Hypertension,Difficulty Breathing
Heart Attack,Difficulty Breathing
Cardiomyopathy,Difficulty Breathing
Pulmonary Hypertension,Coughing up Blood
Heart Attack,Coughing up Blood
Cardiomyopathy,Coughing up Blood
Pulmonary Hypertension,Rapid Heart Rate
Heart Attack,Rapid Heart Rate
Cardiomyopathy,Rapid Heart Rate
Hypertrophic Cardiomyopathy,Chest Tightness
Arrhythmia,Chest Tightness
Cardiac Arrest,Chest Tightness
Hypertrophic Cardiomyopathy,Fainting
Arrhythmia,Fainting
Cardiac Arrest,Fainting
Hypertrophic Cardiomyopathy,Palpitations
Arrhythmia,Palpitations
Cardiac Arrest,Palpitations
Anemia,Easy bruising
Leukemia,Easy bruising
Thrombocytopenia,Easy bruising
Anemia,Fatigue
Leukemia,Fatigue
Thrombocytopenia,Fatigue
Anemia,Weakness
Leukemia,Weakness
Thrombocytopenia,Weakness
Iron deficiency anemia,Shortness of breath
Hemolytic anemia,Shortness of breath
Sickle cell anemia,Shortness of breath
Iron deficiency anemia,Pale skin
Hemolytic anemia,Pale skin
Sickle cell anemia,Pale skin
Iron deficiency anemia,Dizziness
Hemolytic anemia,Dizziness
Sickle cell anemia,Dizziness
Hemophilia,Frequent infections
Thalassemia,Frequent infections
Immunodeficiency disorders,Frequent infections
Hemophilia,Abdominal pain
Thalassemia,Abdominal pain
Immunodeficiency disorders,Abdominal pain
Hemophilia,Enlarged spleen
Thalassemia,Enlarged spleen
Immunodeficiency disorders,Enlarged spleen
Von Willebrand disease,Bleeding gums
Polycythemia,Bleeding gums
Hemophilia B,Bleeding gums
Von Willebrand disease,Joint pain
Polycythemia,Joint pain
Hemophilia B,Joint pain
Von Willebrand disease,Nosebleeds
Polycythemia,Nosebleeds
Hemophilia B,Nosebleeds
Lymphoma,Swollen lymph nodes
Chronic myeloid leukemia,Swollen lymph nodes
Myelodysplastic syndrome,Swollen lymph nodes
Lymphoma,Night sweats
Chronic myeloid leukemia,Night sweats
Myelodysplastic syndrome,Night sweats
Lymphoma,Unexplained weight loss
Chronic myeloid leukemia,Unexplained weight loss
Myelodysplastic syndrome,Unexplained weight loss
Endometriosis,Pain during intercourse
Pelvic inflammatory disease,Pain during intercourse
Polycystic ovary syndrome,Pain during intercourse
Endometriosis,Abnormal vaginal discharge
Pelvic inflammatory disease,Abnormal vaginal discharge
Polycystic ovary syndrome,Abnormal vaginal discharge
Endometriosis,Irregular periods
Pelvic inflammatory disease,Irregular periods
Polycystic ovary syndrome,Irregular periods
Prostate cancer,Erectile dysfunction
Epididymitis,Erectile dysfunction
Benign prostatic hyperplasia,Erectile dysfunction
Prostate cancer,Testicular pain
Epididymitis,Testicular pain
Benign prostatic hyperplasia,Testicular pain
Prostate cancer,Difficulty urinating
Epididymitis,Difficulty urinating
Benign prostatic hyperplasia,Difficulty urinating
Urinary tract infection,Lower abdominal pain
Genital herpes,Lower abdominal pain
Bacterial vaginosis,Lower abdominal pain
Urinary tract infection,Vaginal itching
Genital herpes,Vaginal itching
Bacterial vaginosis,Vaginal itching
Urinary tract infection,Painful urination
Genital herpes,Painful urination
Bacterial vaginosis,Painful urination
Uterine fibroids,Infertility
Ovarian cysts,Infertility
Adenomyosis,Infertility
Uterine fibroids,Heavy menstrual bleeding
Ovarian cysts,Heavy menstrual bleeding
Adenomyosis,Heavy menstrual bleeding
Uterine fibroids,Pelvic pressure
Ovarian cysts,Pelvic pressure
Adenomyosis,Pelvic pressure
Breast cancer,Breast tenderness
Fibrocystic breast disease,Breast tenderness
Hyperprolactinemia,Breast tenderness
Breast cancer,Nipple discharge
Fibrocystic breast disease,Nipple discharge
Hyperprolactinemia,Nipple discharge
Breast cancer,Irregular menstrual cycle
Fibrocystic breast disease,Irregular menstrual cycle
Hyperprolactinemia,Irregular menstrual cycle
Myocardial Infarction,Chest Pain
Angina,Chest Pain
Aortic Stenosis,Chest Pain
Heart Attack,Chest Pain
Cardiomyopathy,Chest Pain
Myocardial Infarction,Shortness of Breath
Angina,Shortness of Breath
Aortic Stenosis,Shortness of Breath
Heart Attack,Shortness of Breath
Cardiomyopathy,Shortness of Breath
Myocardial Infarction,Dizziness
Angina,Dizziness
Aortic Stenosis,Dizziness
Heart Attack,Dizziness
Cardiomyopathy,Dizziness
Myocardial Infarction,Nausea
Angina,Nausea
Aortic Stenosis,Nausea
Heart Attack,Nausea
Cardiomyopathy,Nausea
Myocardial Infarction,Sweating
Angina,Sweating
Aortic Stenosis,Sweating
Heart Attack,Sweating
Cardiomyopathy,Sweating
Atrial Fibrillation,Palpitations
Heart Failure,Palpitations
Hypertension,Palpitations
Mitral Valve Prolapse,Palpitations
Coronary Artery Disease,Palpitations
Atrial Fibrillation,Breathlessness
Heart Failure,Breathlessness
Hypertension,Breathlessness
Mitral Valve Prolapse,Breathlessness
Coronary Artery Disease,Breathlessness
Atrial Fibrillation,Fatigue
Heart Failure,Fatigue
Hypertension,Fatigue
Mitral Valve Prolapse,Fatigue
Coronary Artery Disease,Fatigue
Atrial Fibrillation,Swelling in legs
Heart Failure,Swelling in legs
Hypertension,Swelling in legs
Mitral Valve Prolapse,Swelling in legs
Coronary Artery Disease,Swelling in legs
Atrial Fibrillation,Rapid heartbeat
Heart Failure,Rapid heartbeat
Hypertension,Rapid heartbeat
Mitral Valve Prolapse,Rapid heartbeat
Coronary Artery Disease,Rapid heartbeat
Stroke,Headache
Transient Ischemic Attack,Headache
Hypertensive Encephalopathy,Headache
Cerebral Aneurysm,Headache
Intracranial Hemorrhage,Headache
Stroke,Blurred Vision
Transient Ischemic Attack,Blurred Vision
Hypertensive Encephalopathy,Blurred Vision
Cerebral Aneurysm,Blurred Vision
Intracranial Hemorrhage,Blurred Vision
Stroke,Numbness/Weakness
Transient Ischemic Attack,Numbness/Weakness
Hypertensive Encephalopathy,Numbness/Weakness
Cerebral Aneurysm,Numbness/Weakness
Intracranial Hemorrhage,Numbness/Weakness
Stroke,Difficulty speaking
Transient Ischemic Attack,Difficulty speaking
Hypertensive Encephalopathy,Difficulty speaking
Cerebral Aneurysm,Difficulty speaking
Intracranial Hemorrhage,Difficulty speaking
Stroke,Memory loss
Transient Ischemic Attack,Memory loss
Hypertensive Encephalopathy,Memory loss
Cerebral Aneurysm,Memory loss
Intracranial Hemorrhage,Memory loss
Hepatitis,Abdominal Pain
Cirrhosis,Abdominal Pain
Fatty Liver Disease,Abdominal Pain
Pancreatitis,Abdominal Pain
Cholecystitis,Abdominal Pain
Hepatitis,Nausea/Vomiting
Cirrhosis,Nausea/Vomiting
Fatty Liver Disease,Nausea/Vomiting
Pancreatitis,Nausea/Vomiting
Cholecystitis,Nausea/Vomiting
Hepatitis,Loss of Appetite
Cirrhosis,Loss of Appetite
Fatty Liver Disease,Loss of Appetite
Pancreatitis,Loss of Appetite
Cholecystitis,Loss of Appetite
Hepatitis,Jaundice
Cirrhosis,Jaundice
Fatty Liver Disease,Jaundice
Pancreatitis,Jaundice
Cholecystitis,Jaundice
Hepatitis,Dark Urine
Cirrhosis,Dark Urine
Fatty Liver Disease,Dark Urine
Pancreatitis,Dark Urine
Cholecystitis,Dark Urine
Asthma,Chest Tightness
Chronic Obstructive Pulmonary Disease,Chest Tightness
Pulmonary Hypertension,Chest Tightness
Bronchitis,Chest Tightness
Interstitial Lung Disease,Chest Tightness
Asthma,Wheezing
Chronic Obstructive Pulmonary Disease,Wheezing
Pulmonary Hypertension,Wheezing
Bronchitis,Wheezing
Interstitial Lung Disease,Wheezing
Asthma,Coughing
Chronic Obstructive Pulmonary Disease,Coughing
Pulmonary Hypertension,Coughing
Bronchitis,Coughing
Interstitial Lung Disease,Coughing
Asthma,Shortness of Breath
Chronic Obstructive Pulmonary Disease,Shortness of Breath
Pulmonary Hypertension,Shortness of Breath
Bronchitis,Shortness of Breath
Interstitial Lung Disease,Shortness of Breath
Asthma,Difficulty Breathing
Chronic Obstructive Pulmonary Disease,Difficulty Breathing
Pulmonary Hypertension,Difficulty Breathing
Bronchitis,Difficulty Breathing
Interstitial Lung Disease,Difficulty Breathing
Type 2 Diabetes,Excessive thirst
Gestational Diabetes,Excessive thirst
Prediabetes,Excessive thirst
Type 2 Diabetes,Fatigue
Gestational Diabetes,Fatigue
Prediabetes,Fatigue
Type 2 Diabetes,Blurry vision
Gestational Diabetes,Blurry vision
Prediabetes,Blurry vision
Type 1 Diabetes,Frequent urination
Diabetic Nephropathy,Frequent urination
Diabetic Retinopathy,Frequent urination
Type 1 Diabetes,Slow wound healing
Diabetic Nephropathy,Slow wound healing
Diabetic Retinopathy,Slow wound healing
Type 1 Diabetes,Unexplained weight loss
Diabetic Nephropathy,Unexplained weight loss
Diabetic Retinopathy,Unexplained weight loss
Type 2 Diabetes,Numbness or tingling in hands or feet
Diabetic Neuropathy,Numbness or tingling in hands or feet
Diabetic Foot Infection,Numbness or tingling in hands or feet
Type 2 Diabetes,Dry
Diabetic Neuropathy,Dry
Diabetic Foot Infection,Dry
Type 2 Diabetes,itchy skin
Diabetic Neuropathy,itchy skin
Diabetic Foot Infection,itchy skin
Type 2 Diabetes,Recurring infections
Diabetic Neuropathy,Recurring infections
Diabetic Foot Infection,Recurring infections
Diabetic Ketoacidosis,Nausea
Hyperosmolar Hyperglycemic State,Nausea
Gastroparesis,Nausea
Diabetic Ketoacidosis,Vomiting
Hyperosmolar Hyperglycemic State,Vomiting
Gastroparesis,Vomiting
Diabetic Ketoacidosis,Abdominal pain
Hyperosmolar Hyperglycemic State,Abdominal pain
Gastroparesis,Abdominal pain
Hypoglycemia,Extreme hunger
Insulin Resistance,Extreme hunger
Diabetic Coma,Extreme hunger
Hypoglycemia,Irritability
Insulin Resistance,Irritability
Diabetic Coma,Irritability
Hypoglycemia,Confusion
Insulin Resistance,Confusion
Diabetic Coma,Confusion
Asthma,Cough
Chronic Obstructive Pulmonary Disease (COPD),Cough
Bronchitis,Cough
Asthma,Difficulty breathing
Chronic Obstructive Pulmonary Disease (COPD),Difficulty breathing
Bronchitis,Difficulty breathing
Asthma,Chest tightness
Chronic Obstructive Pulmonary Disease (COPD),Chest tightness
Bronchitis,Chest tightness
Tuberculosis,Fever
Meningitis,Fever
Influenza,Fever
Tuberculosis,Sore throat
Meningitis,Sore throat
Influenza,Sore throat
Tuberculosis,Runny nose
Meningitis,Runny nose
Influenza,Runny nose
Pneumonia,Wheezing
Pulmonary Embolism,Wheezing
Lung Cancer,Wheezing
Pneumonia,Shortness of breath
Pulmonary Embolism,Shortness of breath
Lung Cancer,Shortness of breath
Pneumonia,Fatigue
Pulmonary Embolism,Fatigue
Lung Cancer,Fatigue
Pulmonary Tuberculosis,Chest pain
Lung Abscess,Chest pain
Chronic Bronchitis,Chest pain
Pulmonary Tuberculosis,Persistent cough
Lung Abscess,Persistent cough
Chronic Bronchitis,Persistent cough
Pulmonary Tuberculosis,Night sweats
Lung Abscess,Night sweats
Chronic Bronchitis,Night sweats
Lung Cancer,Difficulty swallowing
Bronchiectasis,Difficulty swallowing
Pulmonary Fibrosis,Difficulty swallowing
Lung Cancer,Chronic cough
Bronchiectasis,Chronic cough
Pulmonary Fibrosis,Chronic cough
Lung Cancer,Weight loss
Bronchiectasis,Weight loss
Pulmonary Fibrosis,Weight loss
Gastroenteritis,Abdominal pain
Food Poisoning,Abdominal pain
Irritable Bowel Syndrome,Abdominal pain
Peptic Ulcer Disease,Abdominal pain
Gallstones,Abdominal pain
Gastroenteritis,Diarrhea
Food Poisoning,Diarrhea
Irritable Bowel Syndrome,Diarrhea
Peptic Ulcer Disease,Diarrhea
Gallstones,Diarrhea
Gastroenteritis,Nausea
Food Poisoning,Nausea
Irritable Bowel Syndrome,Nausea
Peptic Ulcer Disease,Nausea
Gallstones,Nausea
Gastroenteritis,Vomiting
Food Poisoning,Vomiting
Irritable Bowel Syndrome,Vomiting
Peptic Ulcer Disease,Vomiting
Gallstones,Vomiting
Gastroenteritis,Bloating
Food Poisoning,Bloating
Irritable Bowel Syndrome,Bloating
Peptic Ulcer Disease,Bloating
Gallstones,Bloating
Liver Cirrhosis,Loss of Appetite
Hepatitis A,Loss of Appetite
Cholangiocarcinoma,Loss of Appetite
Pancreatitis,Loss of Appetite
Ascites,Loss of Appetite
Liver Cirrhosis,Weight Loss
Hepatitis A,Weight Loss
Cholangiocarcinoma,Weight Loss
Pancreatitis,Weight Loss
Ascites,Weight Loss
Liver Cirrhosis,Jaundice
Hepatitis A,Jaundice
Cholangiocarcinoma,Jaundice
Pancreatitis,Jaundice
Ascites,Jaundice
Liver Cirrhosis,Abdominal Distention
Hepatitis A,Abdominal Distention
Cholangiocarcinoma,Abdominal Distention
Pancreatitis,Abdominal Distention
Ascites,Abdominal Distention
Liver Cirrhosis,Dark Urine
Hepatitis A,Dark Urine
Cholangiocarcinoma,Dark Urine
Pancreatitis,Dark Urine
Ascites,Dark Urine
Gastroesophageal Reflux Disease,Heartburn
Esophageal Cancer,Heartburn
Achalasia,Heartburn
Hiatal Hernia,Heartburn
Gastric Ulcer,Heartburn
Gastroesophageal Reflux Disease,Difficulty Swallowing
Esophageal Cancer,Difficulty Swallowing
Achalasia,Difficulty Swallowing
Hiatal Hernia,Difficulty Swallowing
